org_type,development,humanitarian_in_FTS,humanitarian_in_IATI,humanitarian
Government,164784146.568133,1608828.79977186,41321120.9649025,522905610
Multilateral,1723658603.52044,796956418.509743,400099367.393803,4595226196
NGO,639330909.358678,328358503.309968,58800718.9418237,874193849
Other,9751561387.64248,1651975932.34723,1232788921.41591,313161789
Private organization/foundation,451190846.285773,2575455.9757,10455234.3103429,112146540
