transaction_date,development,humanitarian_in_FTS,humanitarian_in_IATI,humanitarian
2020-03-04,937655149.78022,14848467.7177245,4019807.72443411,268159713
2020-03-05,924777485.41423,19747421.5747245,4019807.72443411,268159713
2020-03-06,931024434.03799,19747421.5747245,37976807.7244341,314748781
2020-03-09,938497104.94079,19747421.5747245,40615299.4960541,319659984
2020-03-10,994263237.79079,20881621.5747245,41247839.4334541,346000248
2020-03-11,1010957314.21335,22987602.7184045,41247839.4334541,347244592
2020-03-12,1054540594.21335,22987602.7184045,41247839.4334541,347244592
2020-03-13,1087170285.67125,30599458.4742865,41247839.4334541,405350398
2020-03-15,1087248487.02075,30599458.4742865,41247839.4334541,411455627
2020-03-16,1090177037.34372,40813368.4742865,42370619.4334541,439564261
2020-03-17,1113274467.39729,42722322.4742865,43488739.8694541,441551415
2020-03-18,1116602084.08421,42722322.4742865,43488739.8694541,441551415
2020-03-19,1149227505.91411,46131792.4904465,43488739.8694541,537572953
2020-03-20,1149436491.70846,46131792.4904465,43488739.8694541,540206794
2020-03-22,1149436491.70846,46204960.4904465,43488739.8694541,540206794
2020-03-23,1209000211.7538,49532746.5784465,43488739.8694541,544928924
2020-03-24,1210804109.53088,58972550.4222385,43488739.8694541,604540388
2020-03-25,1236323064.62388,61226230.4222385,44634727.3813541,612274142
2020-03-26,1242646703.76053,61226230.4222385,76607227.3813541,616570652
2020-03-27,1248124982.83646,61779180.4222385,76607227.3813541,618499040
2020-03-28,1306474182.83646,61779180.4222385,76607227.3813541,618499040
2020-03-29,1306560827.23066,61779180.4222385,76607227.3813541,621649566
2020-03-30,1307888553.72422,69548523.1222386,76733072.7737541,632095820
2020-03-31,1583202098.50936,70499107.9949105,84064402.9775541,633678280
2020-04-01,1583292611.94288,84531889.8208018,84091896.8075333,698202875
2020-04-02,1595368465.92496,88154304.1036138,84256820.2110533,782775434
2020-04-03,1604162804.12273,92148757.7212648,84338608.5657533,817817626
2020-04-04,1604332987.31273,92148757.7212648,84338608.5657533,817817626
2020-04-05,1606734631.92032,92148757.7212648,84338608.5657533,843254902
2020-04-06,1661163580.61429,99573438.6411378,104803590.179753,870822794
2020-04-07,1846030409.24122,116057154.334652,108375619.662333,931856787
2020-04-08,1870592697.38985,142889116.052705,108935540.444733,952849408
2020-04-09,1869215647.98446,145420406.061193,108935540.444733,957362821
2020-04-10,1872261465.40649,145420406.061193,108935540.444733,958065873
2020-04-12,1872261465.40649,145420406.061193,108935540.444733,1032747954
2020-04-13,1872261465.40649,145420406.061193,108935540.444733,1035481532
2020-04-14,1876163501.92244,145697568.167611,108935540.444733,1067274159
2020-04-15,1883838061.21529,148206638.167611,128935540.444733,1122748016
2020-04-16,1880238265.00515,157449616.696251,136309706.722207,1163301609
2020-04-17,1889655710.52763,161680522.771035,136309706.722207,1182133124
2020-04-18,1889655710.52763,161680522.771035,136309706.722207,1183069654
2020-04-20,1902951308.67804,162729944.947953,136980420.085607,1226701357
2020-04-21,1953974763.50492,163048377.407445,138543639.483487,1229424648
2020-04-22,2063122924.93804,166784247.981082,139958867.335171,1230604944
2020-04-23,2067373676.17443,168195810.241477,140417122.471771,1236977342
2020-04-24,2110221829.92357,176865213.459077,177541816.753431,1336078791
2020-04-25,2110936309.92357,176865213.459077,178164075.503631,1336078791
2020-04-27,2124134858.51598,177202661.459077,185425395.902132,1430168619
2020-04-28,2168734514.52249,179900051.346073,186559557.761732,1444927211
2020-04-29,2169453511.76724,192317377.697236,201293880.550302,1485168355
2020-04-30,2327829152.5059,206110784.249222,205322646.253262,1513103763
2020-05-01,2362564575.60328,206110784.249222,221239578.012172,1530251445
2020-05-02,2362564575.60328,206110784.249222,221239578.012172,1531467592
2020-05-03,2362564575.60328,206199427.395422,221239578.012172,1531467592
2020-05-04,2362564575.60328,207871601.581976,234005447.0396,1585732347
2020-05-05,2438537665.25528,210994751.647932,234005447.0396,1587607679
2020-05-06,2518370855.0705,231664613.801608,265712680.500961,1608279098
2020-05-07,2518602674.5955,231872261.801608,296268048.160563,1643313466
2020-05-08,2546945891.1251,234801721.386604,299803179.755103,1705277526
2020-05-10,2546991094.27873,234801721.386604,299803179.755103,1705322169
2020-05-11,2557871697.80678,240205582.241614,301838857.021653,1713905397
2020-05-12,2572977867.95309,242050419.809614,305568482.594725,1726065722
2020-05-13,2580753791.95309,263765922.292259,307194032.594725,1749906927
2020-05-14,2587811685.62346,267240032.088659,308932808.251725,1772657510
