FTS_name,commitment,paid,pledge
UNDP Administered Trust Fund,4271793,0,0
UNICEF Brazil,0,4167214,0
UNICEF Croatia,0,134858,0
UNICEF National Committee/Andorra,0,34130,0
UNICEF National Committee/Australia,380467,1831723,0
UNICEF National Committee/Austria,0,16123,0
UNICEF National Committee/Belgium,0,546633,0
UNICEF National Committee/Canada,0,6096291,0
UNICEF National Committee/Czech Republic,0,76066,0
UNICEF National Committee/Denmark,0,2932532,0
UNICEF National Committee/Finland,0,885208,0
UNICEF National Committee/France,0,1096112,0
UNICEF National Committee/Germany,0,5624903,0
UNICEF National Committee/Hong Kong,0,311712,0
UNICEF National Committee/Indonesia,0,250000,0
UNICEF National Committee/Italy,0,22527,0
UNICEF National Committee/Japan,0,6208783,0
UNICEF National Committee/Luxembourg,0,966912,0
UNICEF National Committee/Netherlands,0,1245120,0
UNICEF National Committee/New Zealand,0,1333,0
UNICEF National Committee/Norway,0,461655,0
UNICEF National Committee/Poland,0,25069,0
UNICEF National Committee/Saudi Arabia,0,50000,0
UNICEF National Committee/Spain,0,2401838,0
UNICEF National Committee/Sweden,0,1616374,0
UNICEF National Committee/Switzerland,0,532208,0
UNICEF National Committee/Turkey,0,24809,0
UNICEF National Committee/United Kingdom,0,16019465,0
US Fund for UNICEF,75330,27172190,0
Ukraine Humanitarian Fund,0,4321162,0
Unilever,0,1164009,0
United Arab Emirates,18078682,316637059,2000000
United Kingdom,239650725,222778647,0
United Methodist Church,10000,0,0
United Nations,9409214,-4524000,0
United Nations Children's Fund,-136976499,-764183711,-2014218
United Nations Development Programme,-12860852,-69767466,0
"United Nations Educational, Scientific and Cultural Organization",60000,4318614,0
United Nations High Commissioner for Refugees,-87386354,-518063103,-2589609
United Nations Human Settlements Programme (UN-HABITAT),0,-322949,0
United Nations Joint Programme on HIV/AIDS,0,-268777,0
United Nations Mission in South Sudan,4000,0,0
United Nations Office for Project Services,-1643777,-28689972,0
United Nations Population Fund,-26129615,-67166491,0
United States of America,337161800,771615681,58276785
Venezuela,12240290,0,0
Viet Nam,50000,0,0
Vital Strategies,1733923,0,0
World Bank,93784767,112364872,0
World Food Programme,-33726191,-714789397,0
World Health Organization,-1384076909,-152025063,-57185931
World Jewish Relief,0,31526,0
Yemen Humanitarian Fund,0,17716490,0
ZOA,-1910662,-550199,0
occupied Palestinian territory Humanitarian Fund,-1086957,12712973,0
